"TITLE","AUTHOR","DATE","DESCRIPTION","CONTENT","URL"
"'A radioactive doll, two blasts, East India Company, and Abdul Kalam: the story of a con'","'Hamza Khan'","'2019-05-11T19:49:22Z'","'How three friends from Pune got taken in by a “Rs 7,000-crore”, “biggest deal of India”, convinced about it “for the sake of India”, and what has followed — seven FIRs, for cases ranging from Jaipur, Indore and Bhopal to Kolkata and Hyderabad; 24 arrests; and…'","'The doll that the accused reportedly said had been packed by Kalam himself, in this box, along with chemicals; (right) alleged kingpin Ganesh Ingole
On July 11, 2018, a Mercedes Benz drew up outside a home in Malviya Nagar, Jaipur. Security guards emerged fi… [+9783 chars]'","'https://indianexpress.com/article/india/a-radioactive-doll-two-blasts-east-india-company-and-abdul-kalam-the-story-of-a-con-5723232/'"
"'Ajit Pawar has ‘no doubts’ about EVM functioning; NCP chief and Sule differ'","'Express News Service'","'2019-05-15T00:02:30Z'","'Sharad Pawar said some people did have doubts about the use of EVMs in polling and having such doubts “was not good for democracy"". At a separate event in Pune on Tuesday, Sule said the use of ballot papers was more transparent than EVMs.'","'NCP chief Sharad Pawar and Supriya Sule. (File)
While NCP chief Sharad Pawar and his daughter, Baramati MP Supriya Sule, have expressed doubts about the functioning of Electronic Voting Machines (EVMs), senior party leader Ajit Pawar seems to hold a differen… [+1789 chars]'","'https://indianexpress.com/elections/ajit-pawar-has-no-doubts-about-evm-functioning-ncp-chief-and-sule-differ-5728083/'"
"'Set up committees to look into organ donation: HC'","'Sonam Saigal'","'2019-05-11T17:34:06Z'","'Asks State to ensure adequate publicity that can be understood by the common man'","'Mumbai
The Bombay High Court recently asked the State government to ensure that appropriate hospital-based authorisation committees are set up to look into organ donation. These should be constituted under the Transplantation of Human Organs and Tissue Act, … [+2110 chars]'","'https://www.thehindu.com/news/national/other-states/set-up-committees-to-look-into-organ-donation-hc/article27104908.ece'"
"'On a lighter note: Actor Ashish Vidyarthi dons the role of a clown'","'IE Online'","'2019-05-14T07:25:21Z'","'Ashish Vidyarthi, a national award-winning actor, is donning the role of a clown for a film.'","'Actor Ashish Vidyarthi with CT Biju, a professuional entertainer, who has acted in several movies, during the shooting of a short film at Rambo Circus in Pune. (Express photo: Arul Horizon)'","'https://indianexpress.com/photos/entertainment-gallery/on-a-lighter-note-actor-ashish-vidyarthi-dons-a-clowns-role-5726602/'"
"'Maharashtra govt extends term of Koregaon Bhima inquiry commission till November 8'","'Express News Service'","'2019-05-11T22:15:33Z'","'The violence broke out on a day when lakhs of Dalits had gathered in the area to mark the 200th anniversary of the Battle of Bhima Koregaon.'","'At Bhima Koregaon near Pune in January this year. (File)
THE MAHARASHTRA government has extended the term of the Koregaon Bhima Commission of Inquiry till November 8. The order in this regard was issued by the home department on May 9.
The two-member commis… [+1706 chars]'","'https://indianexpress.com/article/india/maharashtra-govt-extends-term-of-koregaon-bhima-inquiry-commission-till-november-8-5723320/'"
"'Maharashtra among 4 states which received scanty rainfall in pre-monsoon season'","'ANJALI MARAR'","'2019-05-11T05:22:38Z'","'The rainfall during these three months is needed to hydrate the vast cultivable lands, which will otherwise get extremely dry due to soaring temperatures during summers.'","'While the rainfall deficiency over Maharashtra stood at 54 per cent at the end of April, the deficit has further grown to 65 per cent. (File)
Maharashtra is among the four states in India that received highly scanty rainfall during the pre-monsoon season and… [+2622 chars]'","'https://indianexpress.com/article/cities/pune/maharashtra-among-4-states-which-received-scanty-rainfall-in-pre-monsoon-season-5722505/'"
"'Weather forecast today LIVE updates: Pollution levels high in Delhi, cyclone Fani death toll mounts to 64'","'Express Web Desk'","'2019-05-13T03:10:12Z'","'Weather forecast today India LIVE News Updates: Thunderstorm activity is very likely to continue over many parts of northwest India for the next 3-4 days, due to the passage of frequent Western Disturbances. This is likely to be accompanied by hailstorm over …'","'The Delhi Airport on a hazy day (File/Express photo by Prem nath pandey)
Weather forecast today LIVE Updates: The air quality in Delhi on Monday remained at hazardous level with the air quality index touching 710 at Mundka in West Delhi, the primary pollutan… [+2809 chars]'","'https://indianexpress.com/article/live-news/weather-forecast-today-live-updates-delhi-bangalore-pune-heat-wave-rains-cyclone-fani-odisha-5724448/'"
"'UoM to hold workshop on personalised nutrition in August'","'Special Correspondent'","'2019-05-13T18:58:04Z'","'The University of Mysore’s Department of Studies in Food Science and Nutrition will hold a workshop on personalised nutrition to tackle the disease burden arising out of obesity and diabetes.Though th'","'The University of Mysores Department of Studies in Food Science and Nutrition will hold a workshop on personalised nutrition to tackle the disease burden arising out of obesity and diabetes.
Though the workshop, titled From nutrigenetics to personalised nutr… [+1966 chars]'","'https://www.thehindu.com/news/national/karnataka/uom-to-hold-workshop-on-personalised-nutrition-in-august/article27120670.ece'"
"'Elgaar Parishad case: Accused seek mirror images of cloned copies of data seized by police'","'Express News Service'","'2019-05-14T03:42:16Z'","'They had earlier argued that the police had not followed the proper procedure in submitting the electronic data before the court, following which the special court had then directed the accused to file an application in this regard.'","'Both Ferreira and Gadling are representing themselves in the court. (Representational photo)
Lawyers Arun Ferreira and Surendra Gadling, who were arrested in connection with the Elgaar Parishad case for their alleged links with the banned CPI-Maoist, Monday … [+2026 chars]'","'https://indianexpress.com/article/cities/pune/elgaar-parishad-case-accused-seek-mirror-images-of-cloned-copies-of-data-seized-by-police-5726187/'"
"'Modi Cut India’s Red Tape. Now He Hopes to Win Votes for His Work.'","'KEITH BRADSHER'","'2019-05-14T09:00:16Z'","'Taxes are simpler and bureaucracy has been trimmed. Prime Minister Modi wants a second term to prove that India is open for business.'","'Corning has a factory north of Pune, an industrial hub, and it has witnessed visible improvements although some began under the Congress Party, before Mr. Modi took office. The road outside the factory once had huge potholes. It has been paved. Electricity bl… [+760 chars]'","'https://www.nytimes.com/2019/05/14/business/india-modi-business-red-tape.html'"
"'After 5 years, PMC to start work on project to save Mula-Mutha'","'Express News Service'","'2019-05-12T00:00:31Z'","'The project was initially estimated to cost Rs 640 crore but the amount has increased to Rs 990 crore since the project was sanctioned by the Union government five years ago.'","'In September last year, the Union government had pulled up the PMC as well as state government over the delay, and the civic administration had said it was awaiting funds for the project.
The Pune Municipal Corporation (PMC) is planning to begin work on the … [+2735 chars]'","'https://indianexpress.com/elections/after-5-years-pmc-to-start-work-on-project-to-save-mula-mutha-5723369/'"
"'SBI Clerk Pre-Exam Training call letter 2019 released: How to download'","'Careers Desk'","'2019-05-15T09:23:59Z'","'SBI admit card 2019: State Bank of India has released the call letter for the pre-exam training of the prelims examination for the post of Junior Associates (Customer Support and Sales)'","'SBI admit card 2019: The prelims exam of Junior Associates will be held in June (Representational Image)
SBI admit card 2019: State Bank of India (SBI) has released the admit card for the pre-examination training of preliminary exam for Junior Associates (Cu… [+1741 chars]'","'https://indianexpress.com/article/jobs/bank-jobs/sbi-clerk-pre-exam-training-call-letter-2019-released-how-to-download-sbi-co-in-sarkari-result5729055/'"
"'IPL 2019 final: Curator promises a sporting pitch for MI vs CSK'","'Sports Desk'","'2019-05-11T15:09:53Z'","'In this season a total of 8 matches have been held in Sunrisers Hyderabad's home venue out of which three matches produced scores of more than 200.'","'Rajiv Gandhi International Stadium is the home the ground of IPL 2016 champions Sunrisers Hyderabad. (FIle)
The Indian Premier League 2019 between Chennai Super Kings and Mumbai Indians will be held at the Rajiv Gandhi International Stadium, Hyderabad on Sun… [+1260 chars]'","'https://indianexpress.com/article/sports/ipl/ipl-2019-final-mi-vs-csk-pitch-report-weather-chennai-super-kings-mumbai-indians-5723096/'"
"'Persistent’s chief product officer, tech services head quit'","'Ayan Pramanik'","'2019-05-14T01:40:20Z'","'Nara Rajagopalan, chief product officer, and Sudhir Kulkarni, president, technology services, have resigned, two people aware of the development said.'","'Two senior executives of Pune-based IT services company Persistent Systems have quit after Christopher O’Connor took complete charge as chief executive in April, two people aware of the development told ET.
Nara Rajagopalan, chief product officer, and Sudhir… [+1475 chars]'","'https://economictimes.indiatimes.com/tech/ites/persistents-chief-product-officer-tech-services-head-quit/articleshow/69316566.cms'"
"'Yerwada jail didn’t consult Centre on Dutt’s release'","'S. Vijay Kumar'","'2019-05-15T17:36:30Z'","'Maharashtra went by prison manual rules alone: RTI reply'","'In a startling revelation, the Yerwada central prison authorities in Pune have said the Central Government was not consulted on granting remission of jail sentence to actor Sanjay Dutt, convicted in the Mumbai serial blasts case. He was sentenced to five-year… [+3471 chars]'","'https://www.thehindu.com/news/national/yerwada-jail-didnt-consult-centre-on-dutts-release/article27141749.ece'"
"'OnePlus partners with National Geographic and Three UK, announces London pop-up store for May 17th'","'Adam Conway'","'2019-05-11T07:30:47Z'","'OnePlus is getting ready to announce both the OnePlus 7 and the OnePlus 7 Pro across the world on May 14th. The OnePlus 7 is expected to be an iterative upgrade to the OnePlus 6T, sporting the same chassis but upgraded specs, including UFS 3.0. We know a lot …'","'OnePlus is getting ready to announce both the OnePlus 7 and the OnePlus 7 Pro across the world on May 14th. The OnePlus 7 is expected to be an iterative upgrade to the OnePlus 6T, sporting the same chassis but upgraded specs, including UFS 3.0. We know a lot … [+3757 chars]'","'https://www.xda-developers.com/oneplus-partners-with-national-geographic-and-three-uk-announces-london-pop-up-store-for-may-17th/'"
"'To prevent drowning deaths near dams, authorities urge more caution, restraint'","'Sushant Kulkarni'","'2019-05-11T23:55:39Z'","'Police, rescue agencies and government bodies in charge of these water bodies say that it’s also the tourists’ prerogative to exercise restraint and caution. They also highlight the need for creating awareness among people, especially youth.'","'Mulshi dam has seen many such incidents. File
May 2: Three MBA students from Bharti Vidyapeeth, who were part of a group that had gone for an outing to Mulshi dam, drowned after they entered the water for a swim.
April 9: Two engineering students, who had g… [+4701 chars]'","'https://indianexpress.com/article/cities/pune/to-prevent-drowning-deaths-near-dams-authorities-urge-more-caution-restraint-5723400/'"
"'Explained: Human body mapping—Understanding how cells, tissues react when in a disease stage'","'ANJALI MARAR'","'2019-05-12T10:57:11Z'","'It is a project funded by DBT, which aims at creating a database network of all tissues in the human body from the available scientific literature.'","'The MANAV team has encouraged colleges and universities to register as teams and work in this project. Initially, DBT will accommodate colleges that operate the DBT Star College scheme to register for this Human Atlas programme.
For the first time, Indian sc… [+4297 chars]'","'https://indianexpress.com/article/explained/manav-human-atlas-initiative-depart-of-biotechnology-5723857/'"
"'Maharashtra: IMD forecast not yet out, drought-hit regions may see a deficient monsoon'","'Express News Service'","'2019-05-14T20:54:04Z'","'While a weak El Nino is prevailing over Pacific Ocean, IMD officials continue to maintain that it will weaken in the coming months, August onwards.'","'In the seasons first stage Long Range Forecast (LRF) issued in April, the IMD had said that the monsoon will be near normal.(Express photo by Santosh Parab/File)
WHILE THE India Meteorological Department (IMD) is likely to announce its monsoon forecast on We… [+2225 chars]'","'https://indianexpress.com/article/cities/mumbai/maharashtra-imd-forecast-not-yet-out-drought-hit-regions-may-see-a-deficient-monsoon-5727970/'"
"'Atlas of human body: what’s in it, and why'","'ANJALI MARAR'","'2019-05-12T19:48:23Z'","'The comprehensive map of the human body, every tissue accounted for, will be created from all available scientific literature.'","'The programme will seek to provide better biological insights through physiological and molecular mapping, develop disease models through predictive computing, and allow for a holistic analysis and finally drug discovery.
ON FRIDAY, the Department of Biotech… [+2651 chars]'","'https://indianexpress.com/article/explained/atlas-of-human-body-whats-in-it-and-why-5724266/'"
"'First programme to map human body, down to every cell and tissue, launched in India'","'ANJALI MARAR'","'2019-05-11T05:11:07Z'","'The project will provide ample opportunities for students from the fields of biotechnology, biochemistry, microbiology, zoology, health sciences, bioinformatics, systems biology and botany'","'Students will be imparted training to use the annotation tool developed to collate, curate, manage and visualise scientific information that will be extracted from the available extensive scientific literature. (Representational Image)
For the first time in … [+2329 chars]'","'https://indianexpress.com/article/cities/pune/manav-first-programme-to-map-human-body-down-to-every-cell-and-tissue-launched-in-india-5722421/'"
"'India celebrates National Technology Day: Here#39;s a look back at some of the country#39;s greatest achievements in technology'","'null'","'2019-05-11T07:08:17Z'","'NULL'","'1981 | Infosys Limited | Infosys was established by seven engineers in Pune, Maharashtra, India with an initial capital of $250.'","'https://www.moneycontrol.com/news/trends/india-celebrates-national-technology-day-heres-a-look-back-at-some-of-our-greatest-achievements-3955761.html'"
"'Here’s how much coffee is too much - Pune Mirror'","'Pune Mirror'","'2019-05-14T00:30:00Z'","'Here’s how much coffee is too much Pune Mirror New research studies association of coffee consumption and heart disease. View full coverage on Google News'","'New research studies association of coffee consumption
 and heart disease
Drinking six or more cups of coffee a day can be harmful to your health, increasing the risk of heart disease by up to 22 per cent, a study claims. A morning coffee is essential for m… [+2229 chars]'","'https://punemirror.indiatimes.com/others/scitech/heres-how-much-coffee-is-too-much/articleshow/69312502.cms'"
"'Vegetable oils imports fall 11% in April: SEA'","'Getty Images'","'2019-05-15T09:36:59Z'","'The overall import of vegetable oils during November 2018 to April 2019 is reported at 7,541,689 tons.'","'Pune: Import of vegetable oils during April 2019 decreased by 11% to 1,232,283 tons compared to 1,386,466 tons in April 2018, consisting 1,198,763 tons of edible oils and 33,520 tons of non-edible oils, said a release by Solvent Extractors Association (SEA). … [+1714 chars]'","'https://economictimes.indiatimes.com/markets/commodities/news/vegetable-oils-imports-fall-11-in-april-sea/articleshow/69340807.cms'"
"'DJ CHARI新作にTohjiやNormcore Boyzら参加、MUDとGottz迎えたMV公開'","'音楽ナタリー'","'2019-05-14T10:00:00Z'","'DJ CHARIの新作音源「GAME」が5月16日に配信リリースされる。'","'DJ CHARIGAME
01. Come With Me feat. 
KEIJU &amp; 
IO02. Enemy feat. Young Coco03. aero feat. 
Tohji &amp; gummyboy04. Forever Young feat. Pune, BLAISE &amp; VIGORMAN05. Do It Like That feat. MUD &amp; 
Gottz06. Million feat. 
Normcore Boyz07. CONTROL fe… [+210 chars]'","'https://natalie.mu/music/news/331379'"
"'USR-PLUS: Decizia Biroului Electoral de a pune întrebările la referendum pe buletine de vot separate este nejustificată și ar putea îngreuna procesul electoral'","'https://www.facebook.com/www.hotnews.ro'","'2019-05-15T12:26:00Z'","'Decizia Biroului Electoral Central de a pune întrebările la referendumul din 26 mai pe buletine de vot separate este nejustificată și ar putea îngreuna procesul electoral, spun reprezentanții USR-PLUS. Biroul Electoral Central a hotărât că românii vor primi t…'","'Dup înscrierea pe site-ul HotNews.ro, poi deschide seciunea MyHotNews ca s completezi sau s schimbi profilul de utilizator.
Atenie! Logarea pe site se face cu adresa de email, nu cu nickname-ul. Adresa ta de email va rmâne confideniala i nu va fi niciodat da… [+136 chars]'","'https://www.hotnews.ro/stiri-europarlamentare_2019-23143369-usr-plus-decizia-biroului-electoral-pune-intrebarile-referendum-buletine-vot-separate-este-nejustificata-putea-ingreuna-procesul-electoral.htm'"
"'Have advised Athiya, Ahan to be mentally strong: Suniel Shetty'","'PTI'","'2019-05-11T12:07:08Z'","'Suniel Shetty says he has advised his children, Athiya and Ahan, to be mentally strong if they want to survive in entertainment industry. Athiya was launched by his superstar friend Salman Khan with Hero in 2015. His son Ahan has been signed by producer Sajid…'","'Suniel Shetty says he is happy with the way his children are working on their careers. (Source: Suniel Shetty/Instagram)
Suniel Shetty says he has advised his children, Athiya and Ahan, to be mentally strong if they want to survive in entertainment industry.… [+2382 chars]'","'https://indianexpress.com/article/entertainment/bollywood/have-advised-athiya-ahan-to-be-mentally-strong-suniel-shetty-5722939/'"
"'Civic depts to submit 5-year development plan to improve PMC’s credit rating'","'Ajay Jadhav'","'2019-05-11T07:37:06Z'","'The civic departments are supposed to provide information on all the civic works that had an expenditure of more than Rs 5 crore in 2018-19 along with the impact of the project after its completion, she said.'","'The civic body has asked for these reports so as to further submit them for improving its credit rating. (Express photo)
Banking on better credit rating to raise funds for big civic infrastructure projects, the Pune Municipal Corporation (PMC) has directed a… [+3269 chars]'","'https://indianexpress.com/article/cities/pune/civic-depts-to-submit-5-year-development-plan-to-improve-pmcs-credit-rating-5722623/'"
"'Four months on, research scholars yet to receive hiked fellowship stipends'","'ANJALI MARAR'","'2019-05-14T03:56:06Z'","'While some institutions under the MHRD, like IITs and IISERs, have received written communication notifying the roll out of the revised stipends, payment of the same has not commenced as yet.'","'Students are now hoping that the funding agencies will swing back to action after the ongoing Lok Sabha elections are completed.
Nearly four months after Indias key research funding agencies agreed to a 24 per cent hike in the stipends of thousands of resear… [+3248 chars]'","'https://indianexpress.com/article/cities/pune/four-months-on-research-scholars-yet-to-receive-hiked-fellowship-stipends-5726205/'"
"'As arrival date nears, IMD says conditions affecting monsoon favourable so far'","'ANJALI MARAR'","'2019-05-15T00:14:45Z'","'The India Meteorological Department (IMD) is expected to issue a monsoon forecast some time this week. The monsoon normally reaches Kerala in the first week of June.'","'IMD has said the monsoon this year will be near normal. (File)
As the country counts down each summer day and waits for the arrival of monsoon, meteorologists on Tuesday said some of the key atmospheric conditions that have a direct influence on the southwes… [+2490 chars]'","'https://indianexpress.com/article/india/as-arrival-date-nears-imd-says-conditions-affecting-monsoon-favourable-so-far-5728085/'"
"'Maharashtra govt extends deadline for PG medical admissions'","'Express News Service'","'2019-05-14T03:10:02Z'","'Move comes after students from Maratha community protest at Azad Maidan'","'The students want the 16 per cent quota for Marathas implemented from this year in postgraduate medical admissions. (Representational Image)
The state government on Monday decided to extend the deadline for submitting admission forms for postgraduate program… [+2914 chars]'","'https://indianexpress.com/article/education/maharashtra-govt-extends-deadline-for-pg-medical-admissions-5726116/'"
"'OnePlus 7, OnePlus Pro launched in India: Price in India, launch offers, availability and specifications'","'Karanveer Singh Arora'","'2019-05-14T16:18:23Z'","'OnePlus has launched its new flagship series of smartphones, dubbed OnePlus 7 and OnePlus 7 Pro. Here is everything you need to know about both smartphones.'","'OnePlus 7 pro is the first smartphone from the company to feature a triple camera setup on the back.
OnePlus has launched its new flagship smartphones, the OnePlus 7 Pro and the OnePlus 7. The OnePlus 7 Pro is the first smartphone from the company to feature… [+3012 chars]'","'https://indianexpress.com/article/technology/mobile-tabs/oneplus-7-oneplus-pro-launched-in-india-price-in-india-launch-offers-availability-and-specifications-5727504/'"
"'Outdoor film screenings gaining popularity in Bengaluru'","'Aparna Narrain'","'2019-05-15T13:31:17Z'","'Unlike a regular theatre, the idea here is to get comfy and rewatch your favourite film'","'Here is a trivia question that may stump even the most seasoned movie buff. What is the common element in Twister, The Wedding Planner and Grease? After all, one is a disaster film, one a romcom and the last, a musical set in the 50s.
The answer: all three f… [+5307 chars]'","'https://www.thehindu.com/entertainment/movies/outdoor-film-screenings-gaining-popularity-in-bengaluru/article27139183.ece'"
"'Revanta Sarabhai’s interpretative Bharatnatyam recital showcases his contemporary take on the ‘dancer-deity’ paradigm'","'Aishwarya Sahasrabudhe'","'2019-05-11T06:03:08Z'","'Revanta Sarabhai's In the Shadow of the Gods has been a work in progress for some time now, it was introduced properly on stage in its present format as recently as January 2019 and has been previously showcased at Ahmedabad, Bangalore and Pune The post Revan…'","'For Revanta Sarabhai, his name precedes his repertoire. Even as he forges his own identity within the critical community of classical dance, this third generation Bharatnatyam dancer and choreographer carries forward the legacy of his grandmother, Mrinalini S… [+10305 chars]'","'https://www.firstpost.com/living/revanta-sarabhais-interpretative-bharatnatyam-recital-showcases-his-contemporary-take-on-the-dancer-deity-paradigm-6598751.html'"
"'Şase din şapte administratori din Pilonul II vor să părăsească România'","''","'2019-05-14T18:35:53Z'","'Fondurile de pensii private ameninţă că nu vor putea să continue activitatea în România, din cauza Ordonanţei 114, ceea ce pune sub semnul întrebării siguranţa celor 51 miliarde lei economisite de români.'","'ase din apte administratori de pensii private spun c activitatea lor în România se afl sub incertitudini semnificative, dup ce Guvernul a impus o serie de cerine absurde prin Ordonana 114, fr ca mcar s le explice necesitatea.
Principala dolean a celor care a… [+4810 chars]'","'https://adevarul.ro/economie/stiri-economice/Sase-sapte-administratori-pilonul-vor-paraseasca-romania-1_5cdb0921445219c57ea06088/index.html'"
"'ING Bank testează un nou concept de office. Ce le oferă clienţilor'","''","'2019-05-14T08:34:05Z'","'ING îşi continuă strategia digitală, axată pe mobil ca principal canal de tranzacţionare pentru clienţi, testând însă, simultan, şi un nou concept de office ce pune în prim plan experienţa clienţilor şi creează conexiuni relevante cu banca.'","'Folosim cookie-uri i tehnologii asemntoare pentru a-i îmbunti experiena pe acest website, pentru a-i oferi coninut i reclame personalizate i pentru a analiza traficul i audiena website-ului. Înainte de a continua navigarea pe website-ul nostru te rugm s aloci… [+355 chars]'","'https://adevarul.ro/economie/bani/ing-bank-testeaza-nou-concept-office-ofera-clientilor-1_5cda7cc6445219c57e9ac2ee/index.html'"
"'Helpshift Announces European Expansion Following Year of Record Growth and Innovation'","'null'","'2019-05-14T08:07:56Z'","'SAN FRANCISCO--(BUSINESS WIRE)--Helpshift, the company revolutionizing the customer service industry through its intelligent and asynchronous digital messaging platform, today announced that it has expanded its footprint to Europe. Helpshift has hired teams i…'","'SAN FRANCISCO--(BUSINESS WIRE)--Helpshift, the company revolutionizing the customer service industry 
 through its intelligent and asynchronous digital messaging platform, 
 today announced that it has expanded its footprint to Europe.
Helpshift has hired … [+4773 chars]'","'https://www.businesswire.com/news/home/20190514005123/en/Helpshift-Announces-European-Expansion-Year-Record-Growth'"
